Feature,Mean_SHAP
CNT_FAM_MEMBERS,1.1515548316587925
NAME_EDUCATION_TYPE_Higher education,0.9559593652911771
NAME_EDUCATION_TYPE_Secondary / secondary special,0.8762396354471632
NAME_INCOME_TYPE_Pensioner,0.8010961952153979
NAME_FAMILY_STATUS_Single / not married,0.5974518448589877
EMPLOYED_YEARS,0.5466144625653698
AMT_INCOME_TOTAL,0.5316109933389453
NAME_INCOME_TYPE_Working,0.46257536004303845
AGE,0.4574724868318932
NAME_FAMILY_STATUS_Married,0.43434550655913434
FLAG_PHONE,0.33488680119228786
NAME_HOUSING_TYPE_House / apartment,0.32961941192435534
NAME_EDUCATION_TYPE_Incomplete higher,0.26211292725502505
CODE_GENDER_M,0.21373418520471255
FLAG_EMAIL,0.21068228855465945
CNT_CHILDREN,0.18891828656465418
FLAG_OWN_CAR_Y,0.1783386942726781
NAME_HOUSING_TYPE_Municipal apartment,0.1745509244937882
NAME_FAMILY_STATUS_Widow,0.15863193394100492
FLAG_WORK_PHONE,0.15852109751101298
NAME_HOUSING_TYPE_With parents,0.13376571753362948
NAME_INCOME_TYPE_State servant,0.11877246434145063
FLAG_OWN_REALTY_Y,0.08110462654557034
NAME_HOUSING_TYPE_Office apartment,0.05856330772383723
NAME_HOUSING_TYPE_Rented apartment,0.04881749841966082
NAME_FAMILY_STATUS_Separated,0.03391893903593319
NAME_EDUCATION_TYPE_Lower secondary,0.004979066531140628
NAME_INCOME_TYPE_Student,0.0
