Feature,Mean_SHAP
NAME_INCOME_TYPE_Pensioner,0.72142833
NAME_EDUCATION_TYPE_Secondary / secondary special,0.6884267
NAME_EDUCATION_TYPE_Higher education,0.6665106
CNT_FAM_MEMBERS,0.6486353
AMT_INCOME_TOTAL,0.627711
AGE,0.5858161
NAME_INCOME_TYPE_Working,0.5393479
NAME_FAMILY_STATUS_Married,0.45956987
EMPLOYED_YEARS,0.45236284
FLAG_PHONE,0.3285373
NAME_FAMILY_STATUS_Single / not married,0.3118819
NAME_HOUSING_TYPE_House / apartment,0.22364326
FLAG_OWN_CAR_Y,0.21131623
CODE_GENDER_M,0.18885057
FLAG_EMAIL,0.18743987
FLAG_WORK_PHONE,0.15798005
CNT_CHILDREN,0.15589687
NAME_EDUCATION_TYPE_Incomplete higher,0.14435253
NAME_FAMILY_STATUS_Widow,0.14204474
NAME_INCOME_TYPE_State servant,0.11719143
NAME_HOUSING_TYPE_With parents,0.101429924
FLAG_OWN_REALTY_Y,0.097078994
NAME_HOUSING_TYPE_Municipal apartment,0.09101519
NAME_FAMILY_STATUS_Separated,0.06268514
NAME_HOUSING_TYPE_Rented apartment,0.031352345
NAME_HOUSING_TYPE_Office apartment,0.030831177
NAME_EDUCATION_TYPE_Lower secondary,0.0054692687
NAME_INCOME_TYPE_Student,0.0
